Iteration,Cost
0,20683.609989999906
1,20591.5271899999
2,20452.64268999989
3,20307.4191899999
4,20187.314189999895
5,20070.178789999904
6,19940.734789999897
7,19841.400089999897
8,19715.681389999892
9,19606.342489999897
10,19489.9356899999
11,19382.599689999897
12,19261.4136899999
13,19146.3197899999
14,19038.7399899999
15,18923.268289999894
16,18809.126047894617
17,18723.61604789462
18,18619.96064789462
19,18514.228457894616
20,18440.630457894622
21,18350.01415789463
22,18222.97055789463
23,18099.864957894635
24,18024.03835789463
25,17932.148357894635
26,17843.079357894658
27,17720.558757894654
28,17583.78185789465
29,17498.603257894647
30,17398.611357894657
31,17310.569357894652
32,17206.950857894648
33,17089.629857894644
34,16980.368457894623
35,16874.935757894644
36,16787.491757894677
37,16653.572957894696
38,16547.22295789471
39,16469.61225789472
40,16354.151257894735
41,16274.851357894731
42,16188.032857894736
43,16069.237857894734
44,15978.782489855075
45,15925.219489855077
46,15811.39748985508
47,15727.335489855082
48,15619.807489855082
49,15529.043589855086
50,15441.901589855086
51,15357.634389855084
52,15246.064089855088
53,15176.456089855084
54,15055.406689855081
55,14982.125389855082
56,14888.72038985508
57,14834.52188985508
58,14708.887289855076
59,14627.618289855076
60,14497.132889855075
